x,intensity
0.000000000000000000e+00,-2.732127904891967773e-04
2.500625269021838903e-04,-2.727657556533813477e-04
5.001250538043677807e-04,-2.722889184951782227e-04
7.501875516027212143e-04,-2.718120813369750977e-04
1.000250107608735561e-03,-2.714246511459350586e-04
1.250312663614749908e-03,-2.709478139877319336e-04
1.500375103205442429e-03,-2.704560756683349609e-04
1.750437659211456776e-03,-2.700239419937133789e-04
2.000500215217471123e-03,-2.696812152862548828e-04
2.250562654808163643e-03,-2.691596746444702148e-04
2.500625327229499817e-03,-2.686828374862670898e-04
2.750687766820192337e-03,-2.682954072952270508e-04
3.000750206410884857e-03,-2.678930759429931641e-04
3.250812878832221031e-03,-2.674013376235961914e-04
3.500875318422913551e-03,-2.669692039489746094e-04
3.750937990844249725e-03,-2.665072679519653320e-04
4.001000430434942245e-03,-2.661198377609252930e-04
4.251062870025634766e-03,-2.656728029251098633e-04
4.501125309616327286e-03,-2.652257680892944336e-04
4.751188214868307114e-03,-2.647638320922851562e-04
5.001250654458999634e-03,-2.643465995788574219e-04
5.251313094049692154e-03,-2.640187740325927734e-04
5.501375533640384674e-03,-2.634674310684204102e-04
5.751437973231077194e-03,-2.631992101669311523e-04
6.001500412821769714e-03,-2.626925706863403320e-04
6.251563318073749542e-03,-2.622157335281372070e-04
6.501625757664442062e-03,-2.618879079818725586e-04
6.751688197255134583e-03,-2.613961696624755859e-04
7.001750636845827103e-03,-2.609640359878540039e-04
7.251813076436519623e-03,-2.606958150863647461e-04
7.501875981688499451e-03,-2.602040767669677734e-04
7.751938421279191971e-03,-2.598017454147338867e-04
8.002000860869884491e-03,-2.594739198684692383e-04
8.252063766121864319e-03,-2.590566873550415039e-04
8.502125740051269531e-03,-2.585053443908691406e-04
8.752188645303249359e-03,-2.582520246505737305e-04
9.002250619232654572e-03,-2.577453851699829102e-04
9.252313524484634399e-03,-2.574324607849121094e-04
9.502376429736614227e-03,-2.570450305938720703e-04
9.752438403666019440e-03,-2.565681934356689453e-04
1.000250130891799927e-02,-2.562403678894042969e-04
1.025256328284740448e-02,-2.558976411819458008e-04
1.050262618809938431e-02,-2.554804086685180664e-04
1.075268909335136414e-02,-2.550482749938964844e-04
1.100275106728076935e-02,-2.546906471252441406e-04
1.125281397253274918e-02,-2.543926239013671875e-04
1.150287594646215439e-02,-2.538859844207763672e-04
1.175293885171413422e-02,-2.536326646804809570e-04
1.200300082564353943e-02,-2.531707286834716797e-04
1.225306373089551926e-02,-2.528727054595947266e-04
1.250312663614749908e-02,-2.524554729461669922e-04
1.275318861007690430e-02,-2.521276473999023438e-04
1.300325151532888412e-02,-2.517402172088623047e-04
1.325331348925828934e-02,-2.513378858566284180e-04
1.350337639451026917e-02,-2.510249614715576172e-04
1.375343929976224899e-02,-2.506524324417114258e-04
1.400350127369165421e-02,-2.502799034118652344e-04
1.425356417894363403e-02,-2.499371767044067383e-04
1.450362615287303925e-02,-2.496093511581420898e-04
1.475368905812501907e-02,-2.492368221282958984e-04
1.500375196337699890e-02,-2.488344907760620117e-04
1.525381393730640411e-02,-2.485066652297973633e-04
1.550387684255838394e-02,-2.481639385223388672e-04
1.575393974781036377e-02,-2.478808164596557617e-04
1.600400172173976898e-02,-2.475380897521972656e-04
1.625406369566917419e-02,-2.471953630447387695e-04
1.650412753224372864e-02,-2.467930316925048828e-04
1.675418950617313385e-02,-2.465099096298217773e-04
1.700425148010253906e-02,-2.460777759552001953e-04
1.725431345403194427e-02,-2.458393573760986328e-04
1.750437729060649872e-02,-2.454519271850585938e-04
1.775443926453590393e-02,-2.451539039611816406e-04
1.800450123846530914e-02,-2.447664737701416016e-04
1.825456507503986359e-02,-2.444386482238769531e-04
1.850462704896926880e-02,-2.442300319671630859e-04
1.875468902289867401e-02,-2.438873052597045898e-04
1.900475285947322845e-02,-2.435594797134399414e-04
1.925481483340263367e-02,-2.432316541671752930e-04
1.950487680733203888e-02,-2.429634332656860352e-04
1.975493878126144409e-02,-2.426058053970336914e-04
2.000500261783599854e-02,-2.422779798507690430e-04
2.025506459176540375e-02,-2.419352531433105469e-04
2.050512656569480896e-02,-2.416223287582397461e-04
2.075519040226936340e-02,-2.413094043731689453e-04
2.100525237619876862e-02,-2.410560846328735352e-04
2.125531435012817383e-02,-2.407878637313842773e-04
2.150537818670272827e-02,-2.404004335403442383e-04
2.175544016063213348e-02,-2.401620149612426758e-04
2.200550213456153870e-02,-2.398788928985595703e-04
2.225556410849094391e-02,-2.395212650299072266e-04
2.250562794506549835e-02,-2.392679452896118164e-04
2.275568991899490356e-02,-2.389103174209594727e-04
2.300575189292430878e-02,-2.387017011642456055e-04
2.325581572949886322e-02,-2.384632825851440430e-04
2.350587770342826843e-02,-2.380758523941040039e-04
2.375593967735767365e-02,-2.378672361373901367e-04
2.400600165128707886e-02,-2.375394105911254883e-04
2.425606548786163330e-02,-2.372115850448608398e-04
2.450612746179103851e-02,-2.369880676269531250e-04
2.475618943572044373e-02,-2.366453409194946289e-04
2.500625327229499817e-02,-2.364516258239746094e-04
2.525631524622440338e-02,-2.361387014389038086e-04
2.550637722015380859e-02,-2.359002828598022461e-04
2.575644105672836304e-02,-2.356022596359252930e-04
2.600650303065776825e-02,-2.353042364120483398e-04
2.625656500458717346e-02,-2.350956201553344727e-04
2.650662697851657867e-02,-2.347677946090698242e-04
2.675669081509113312e-02,-2.345293760299682617e-04
2.700675278902053833e-02,-2.342313528060913086e-04
2.725681476294994354e-02,-2.339333295822143555e-04
2.750687859952449799e-02,-2.337545156478881836e-04
2.775694057345390320e-02,-2.335160970687866211e-04
2.800700254738330841e-02,-2.333074808120727539e-04
2.825706638395786285e-02,-2.329647541046142578e-04
2.850712835788726807e-02,-2.327263355255126953e-04
2.875719033181667328e-02,-2.325028181076049805e-04
2.900725230574607849e-02,-2.322345972061157227e-04
2.925731614232063293e-02,-2.319067716598510742e-04
2.950737811625003815e-02,-2.317130565643310547e-04
2.975744009017944336e-02,-2.315342426300048828e-04
3.000750392675399780e-02,-2.313107252120971680e-04
3.025756590068340302e-02,-2.309978008270263672e-04
3.050762787461280823e-02,-2.307593822479248047e-04
3.075769171118736267e-02,-2.306103706359863281e-04
3.100775368511676788e-02,-2.303421497344970703e-04
3.125781565904617310e-02,-2.301186323165893555e-04
3.150787949562072754e-02,-2.298504114151000977e-04
3.175793960690498352e-02,-2.296268939971923828e-04
3.200800344347953796e-02,-2.294629812240600586e-04
3.225806728005409241e-02,-2.291500568389892578e-04
3.250812739133834839e-02,-2.289265394210815430e-04
3.275819122791290283e-02,-2.287328243255615234e-04
3.300825506448745728e-02,-2.285242080688476562e-04
3.325831517577171326e-02,-2.282112836837768555e-04
3.350837901234626770e-02,-2.281367778778076172e-04
3.375844284892082214e-02,-2.278089523315429688e-04
3.400850296020507812e-02,-2.276003360748291016e-04
3.425856679677963257e-02,-2.274960279464721680e-04
3.450862690806388855e-02,-2.271831035614013672e-04
3.475869074463844299e-02,-2.270489931106567383e-04
3.500875458121299744e-02,-2.268701791763305664e-04
3.525881469249725342e-02,-2.266317605972290039e-04
3.550887852907180786e-02,-2.264529466629028320e-04
3.575894236564636230e-02,-2.261847257614135742e-04
3.600900247693061829e-02,-2.259910106658935547e-04
3.625906631350517273e-02,-2.257674932479858398e-04
3.650913015007972717e-02,-2.256184816360473633e-04
3.675919026136398315e-02,-2.254098653793334961e-04
3.700925409793853760e-02,-2.252757549285888672e-04
3.725931793451309204e-02,-2.250522375106811523e-04
3.750937804579734802e-02,-2.249181270599365234e-04
3.775944188237190247e-02,-2.247095108032226562e-04
3.800950571894645691e-02,-2.245157957077026367e-04
3.825956583023071289e-02,-2.242326736450195312e-04
3.850962966680526733e-02,-2.241581678390502930e-04
3.875969350337982178e-02,-2.239346504211425781e-04
3.900975361466407776e-02,-2.237409353256225586e-04
3.925981745123863220e-02,-2.234876155853271484e-04
3.950987756252288818e-02,-2.234429121017456055e-04
3.975994139909744263e-02,-2.232342958450317383e-04
4.001000523567199707e-02,-2.230107784271240234e-04
4.026006534695625305e-02,-2.228766679763793945e-04
4.051012918353080750e-02,-2.226978540420532227e-04
4.076019302010536194e-02,-2.225190401077270508e-04
4.101025313138961792e-02,-2.223551273345947266e-04
4.126031696796417236e-02,-2.221912145614624023e-04
4.151038080453872681e-02,-2.220422029495239258e-04
4.176044091582298279e-02,-2.219080924987792969e-04
4.201050475239753723e-02,-2.217441797256469727e-04
4.226056858897209167e-02,-2.215355634689331055e-04
4.251062870025634766e-02,-2.214163541793823242e-04
4.276069253683090210e-02,-2.212971448898315430e-04
4.301075637340545654e-02,-2.211630344390869141e-04
4.326081648468971252e-02,-2.209097146987915039e-04
4.351088032126426697e-02,-2.208352088928222656e-04
4.376094043254852295e-02,-2.207159996032714844e-04
4.401100426912307739e-02,-2.204924821853637695e-04
4.426106810569763184e-02,-2.203136682510375977e-04
4.451112821698188782e-02,-2.202987670898437500e-04
4.476119205355644226e-02,-2.200752496719360352e-04
4.501125589013099670e-02,-2.199113368988037109e-04
4.526131600141525269e-02,-2.198666334152221680e-04
4.551137983798980713e-02,-2.196878194808959961e-04
4.576144367456436157e-02,-2.195388078689575195e-04
4.601150378584861755e-02,-2.194195985794067383e-04
4.626156762242317200e-02,-2.193450927734375000e-04
4.651163145899772644e-02,-2.191513776779174805e-04
4.676169157028198242e-02,-2.190619707107543945e-04
4.701175540685653687e-02,-2.188980579376220703e-04
4.726181924343109131e-02,-2.188086509704589844e-04
4.751187935471534729e-02,-2.186894416809082031e-04
4.776194319128990173e-02,-2.185255289077758789e-04
4.801200330257415771e-02,-2.183765172958374023e-04
4.826206713914871216e-02,-2.183318138122558594e-04
4.851213097572326660e-02,-2.181977033615112305e-04
4.876219108700752258e-02,-2.180784940719604492e-04
4.901225492358207703e-02,-2.178996801376342773e-04
4.926231876015663147e-02,-2.179294824600219727e-04
4.951237887144088745e-02,-2.177506685256958008e-04
4.976244270801544189e-02,-2.176612615585327148e-04
5.001250654458999634e-02,-2.174377441406250000e-04
5.026256665587425232e-02,-2.173930406570434570e-04
5.051263049244880676e-02,-2.172738313674926758e-04
5.076269432902336121e-02,-2.172142267227172852e-04
5.101275444030761719e-02,-2.170801162719726562e-04
5.126281827688217163e-02,-2.170354127883911133e-04
5.151288211345672607e-02,-2.169758081436157227e-04
5.176294222474098206e-02,-2.167969942092895508e-04
5.201300606131553650e-02,-2.167522907257080078e-04
5.226306989789009094e-02,-2.167075872421264648e-04
5.251313000917434692e-02,-2.165287733078002930e-04
5.276319384574890137e-02,-2.164393663406372070e-04
5.301325395703315735e-02,-2.162903547286987305e-04
5.326331779360771179e-02,-2.162605524063110352e-04
5.351338163018226624e-02,-2.161264419555664062e-04
5.376344174146652222e-02,-2.160668373107910156e-04
5.401350557804107666e-02,-2.160072326660156250e-04
5.426356941461563110e-02,-2.159625291824340820e-04
5.451362952589988708e-02,-2.158731222152709961e-04
