x,intensity
0.000000000000000000e+00,3.680855854801800094e-271
2.500625156289072531e-04,3.680855854801800094e-271
5.001250312578145061e-04,3.681015681164426060e-271
7.501875468867217050e-04,3.681473893627768082e-271
1.000250062515629012e-03,3.682489007439221753e-271
1.250312578144536320e-03,3.684543191588916696e-271
1.500375093773443410e-03,3.688535480648154306e-271
1.750437609402350717e-03,3.696141656580860852e-271
2.000500125031258025e-03,3.710484364534958210e-271
2.250562640660165332e-03,3.737380506684485813e-271
2.500625156289072639e-03,3.787662488013515969e-271
2.750687671917979946e-03,3.881496413285633080e-271
3.000750187546886820e-03,4.056412678943028708e-271
3.250812703175794127e-03,4.382235857736461800e-271
3.500875218804701434e-03,4.988832535682695310e-271
3.750937734433608742e-03,6.117665696132729857e-271
4.001000250062516049e-03,8.217550689152422469e-271
4.251062765691423356e-03,1.212245447030589283e-270
4.501125281320330664e-03,1.938152887063463456e-270
4.751187796949237971e-03,3.287153055014150818e-270
5.001250312578145278e-03,5.793289004144461205e-270
5.251312828207052585e-03,1.044765146312072672e-269
5.501375343835959893e-03,1.908895601516478865e-269
5.751437859464867200e-03,3.512740148074754274e-269
6.001500375093773640e-03,6.488577909395040566e-269
6.251562890722680947e-03,1.200833972933413388e-268
6.501625406351588254e-03,2.224352206775864441e-268
6.751687921980495562e-03,4.121647870536228265e-268
7.001750437609402869e-03,7.637565102680524432e-268
7.251812953238310176e-03,1.415094602358632123e-267
7.501875468867217484e-03,2.621347925462918408e-267
7.751937984496124791e-03,4.854584749585158389e-267
8.002000500125032098e-03,8.987868794623296778e-267
8.252063015753938538e-03,1.663537674588211584e-266
8.502125531382846713e-03,3.078056844301299717e-266
8.752188047011753153e-03,5.693600375630288168e-266
9.002250562640661327e-03,1.052840893802227052e-265
9.252313078269567767e-03,1.946271503346044455e-265
9.502375593898475942e-03,3.596737524311762058e-265
9.752438109527382382e-03,6.644748754816284003e-265
1.000250062515629056e-02,1.227192805034374667e-264
1.025256314078519700e-02,2.265746985711040405e-264
1.050262565641410517e-02,4.181907023927161333e-264
1.075268817204301161e-02,7.716167988886497659e-264
1.100275068767191979e-02,1.423289704030499311e-263
1.125281320330082623e-02,2.624516274786106939e-263
1.150287571892973440e-02,4.838041169594550077e-263
1.175293823455864084e-02,8.915673898234068878e-263
1.200300075018754728e-02,1.642491445675609384e-262
1.225306326581645545e-02,3.024937339892546463e-262
1.250312578144536189e-02,5.569214878591120536e-262
1.275318829707427007e-02,1.025028384768087869e-261
1.300325081270317651e-02,1.886001937297628920e-261
1.325331332833208468e-02,3.469067119194669583e-261
1.350337584396099112e-02,6.378926473894704082e-261
1.375343835958989930e-02,1.172591699924489422e-260
1.400350087521880574e-02,2.154816840393511375e-260
1.425356339084771391e-02,3.958569117226307384e-260
